City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,25.32,93.0,100.0,11.5,CA,2024-11-07 03:22:36
1,mujiayingzi,42.1167,118.7833,46.8,36.0,2.0,5.77,CN,2024-11-07 03:22:42
2,newman,37.3138,-121.0208,54.05,57.0,1.0,1.99,US,2024-11-07 03:22:42
3,puspokladany,47.3167,21.1167,34.97,61.0,26.0,4.47,HU,2024-11-07 03:22:42
4,bilibino,68.0546,166.4372,-8.34,100.0,100.0,1.9,RU,2024-11-07 03:22:43
5,college,64.8569,-147.8028,21.18,86.0,20.0,8.05,US,2024-11-07 03:22:43
6,georgetown,5.4112,100.3354,89.53,70.0,20.0,6.91,MY,2024-11-07 03:22:43
7,paradip garh,20.3167,86.6167,80.1,73.0,1.0,8.61,IN,2024-11-07 03:22:43
8,alibag,18.6411,72.8792,79.3,50.0,5.0,6.6,IN,2024-11-07 03:22:43
9,hithadhoo,-0.6,73.0833,81.86,77.0,99.0,8.16,MV,2024-11-07 03:22:43
10,puerto natales,-51.7236,-72.4875,36.52,90.0,10.0,6.42,CL,2024-11-07 03:22:43
11,isangel,-19.55,169.2667,77.11,83.0,75.0,2.3,VU,2024-11-07 03:22:43
12,port alfred,-33.5906,26.891,52.18,92.0,44.0,3.29,ZA,2024-11-07 03:22:43
13,hawaiian paradise park,19.5933,-154.9731,78.31,88.0,75.0,9.22,US,2024-11-07 03:22:43
14,north bend,43.4065,-124.2243,45.27,77.0,0.0,9.15,US,2024-11-07 03:22:44
15,kingston,17.997,-76.7936,81.55,83.0,20.0,4.61,JM,2024-11-07 03:20:35
16,coquimbo,-29.9533,-71.3436,56.93,100.0,75.0,8.05,CL,2024-11-07 03:22:44
17,invercargill,-46.4,168.35,71.74,45.0,82.0,1.9,NZ,2024-11-07 03:22:44
18,al kharijah,25.4514,30.5464,61.61,53.0,0.0,6.62,EG,2024-11-07 03:22:44
19,kayangel,8.0823,134.7173,83.79,76.0,59.0,8.97,PW,2024-11-07 03:22:44
20,aldan,58.6031,125.3894,16.68,88.0,65.0,6.96,RU,2024-11-07 03:22:44
21,ilulissat,69.2167,-51.1,10.42,67.0,10.0,3.44,GL,2024-11-07 03:22:44
22,dunedin,-45.8742,170.5036,62.69,74.0,98.0,9.57,NZ,2024-11-07 03:22:44
23,adamstown,-25.066,-130.1015,71.53,85.0,100.0,12.84,PN,2024-11-07 03:22:44
25,gurpinar,40.9903,28.6153,52.52,66.0,75.0,10.36,TR,2024-11-07 03:22:46
26,blackmans bay,-43.0167,147.3167,70.52,42.0,28.0,1.01,AU,2024-11-07 03:22:46
27,kodinsk,58.6881,99.1844,23.9,86.0,100.0,4.68,RU,2024-11-07 03:22:46
28,ushuaia,-54.8,-68.3,38.86,81.0,20.0,2.3,AR,2024-11-07 03:22:46
29,waitangi,-43.9535,-176.5597,57.4,87.0,15.0,10.67,NZ,2024-11-07 03:22:46
30,tura,25.5198,90.2201,76.03,67.0,5.0,1.74,IN,2024-11-07 03:22:47
31,papatowai,-46.5619,169.4708,69.37,51.0,100.0,8.95,NZ,2024-11-07 03:22:47
32,sangmelima,2.9333,11.9833,67.77,99.0,81.0,1.19,CM,2024-11-07 03:22:47
33,port-aux-francais,-49.35,70.2167,40.01,82.0,12.0,18.7,TF,2024-11-07 03:22:47
34,jining,35.405,116.5814,60.17,48.0,47.0,10.58,CN,2024-11-07 03:22:49
35,sur,22.5667,59.5289,78.55,60.0,2.0,3.29,OM,2024-11-07 03:22:49
36,okha,53.5739,142.9478,28.24,69.0,76.0,15.82,RU,2024-11-07 03:29:20
37,punta arenas,-53.15,-70.9167,42.91,70.0,75.0,23.02,CL,2024-11-07 03:27:42
38,codrington,-38.2667,141.9667,64.92,48.0,55.0,15.5,AU,2024-11-07 03:29:22
39,westport,41.1415,-73.3579,70.75,77.0,75.0,5.75,US,2024-11-07 03:27:02
40,olonkinbyen,70.9221,-8.7187,31.21,87.0,100.0,13.58,SJ,2024-11-07 03:29:24
41,iqaluit,63.7506,-68.5145,22.73,92.0,100.0,2.3,CA,2024-11-07 03:25:58
42,bethel,41.3712,-73.414,68.0,60.0,62.0,5.44,US,2024-11-07 03:29:25
44,sao borja,-28.6606,-56.0044,70.79,95.0,2.0,5.5,BR,2024-11-07 03:29:29
45,yeppoon,-23.1333,150.7333,81.41,61.0,0.0,18.05,AU,2024-11-07 03:25:58
46,kone,-21.0595,164.8658,86.04,40.0,4.0,6.71,NC,2024-11-07 03:29:31
47,albany,42.6001,-73.9662,62.35,72.0,99.0,5.17,US,2024-11-07 03:29:32
48,iskateley,67.6803,53.1512,18.84,97.0,100.0,5.14,RU,2024-11-07 03:29:33
49,katghora,22.5,82.55,75.4,60.0,5.0,2.57,IN,2024-11-07 03:29:35
50,lys'va,58.1086,57.8053,15.93,94.0,68.0,6.06,RU,2024-11-07 03:29:36
51,touros,-5.1989,-35.4608,77.5,75.0,100.0,12.55,BR,2024-11-07 03:29:37
52,margaret river,-33.95,115.0667,59.41,60.0,88.0,11.16,AU,2024-11-07 03:29:38
53,grytviken,-54.2811,-36.5092,32.59,97.0,100.0,3.29,GS,2024-11-07 03:29:39
54,mandan,46.8267,-100.8896,35.58,95.0,100.0,12.66,US,2024-11-07 03:29:18
55,west island,-12.1568,96.8225,82.38,78.0,75.0,20.71,CC,2024-11-07 03:29:41
56,cidreira,-30.1811,-50.2056,70.95,94.0,69.0,16.91,BR,2024-11-07 03:29:43
57,portland,45.5234,-122.6762,52.61,75.0,0.0,5.99,US,2024-11-07 03:26:10
58,bredasdorp,-34.5322,20.0403,55.45,84.0,13.0,7.29,ZA,2024-11-07 03:29:45
59,la passe,45.5549,-0.8967,55.09,90.0,0.0,7.72,FR,2024-11-07 03:29:46
60,zarah sharan,33.1467,68.7917,53.26,30.0,92.0,4.14,AF,2024-11-07 03:29:47
61,madinat sittah uktubar,29.8167,31.05,63.57,83.0,0.0,12.37,EG,2024-11-07 03:29:48
62,kings mountain,35.2451,-81.3412,67.55,83.0,0.0,3.44,US,2024-11-07 03:29:50
63,beaufort west,-32.3567,22.583,51.22,75.0,5.0,10.0,ZA,2024-11-07 03:29:51
64,port isabel,26.0734,-97.2086,80.02,89.0,0.0,3.44,US,2024-11-07 03:29:27
65,zhangatas,43.5667,69.75,32.4,49.0,1.0,18.32,KZ,2024-11-07 03:29:53
66,gadzhiyevo,69.2551,33.3362,34.9,99.0,100.0,11.61,RU,2024-11-07 03:29:54
67,qashar,53.3906,62.9297,24.62,85.0,100.0,16.15,KZ,2024-11-07 03:29:55
68,pyapon,16.2833,95.6833,72.39,96.0,100.0,9.44,MM,2024-11-07 03:29:56
69,bayanhongor,46.7167,100.1167,23.14,77.0,3.0,1.32,MN,2024-11-07 03:29:58
70,shimoda,34.6667,138.95,60.49,69.0,87.0,12.62,JP,2024-11-07 03:29:59
71,tiksi,71.6872,128.8694,6.55,83.0,100.0,9.1,RU,2024-11-07 03:30:00
72,igarka,67.4667,86.5833,11.91,95.0,100.0,11.74,RU,2024-11-07 03:29:08
74,edinburgh of the seven seas,-37.0676,-12.3116,57.69,87.0,74.0,10.56,SH,2024-11-07 03:30:03
76,alaghsas,17.0187,8.0168,67.98,26.0,0.0,10.69,NE,2024-11-07 03:30:05
77,ichtegem,51.115,3.0309,49.91,96.0,75.0,4.61,BE,2024-11-07 03:30:06
78,isafjordur,66.0755,-23.124,32.77,96.0,100.0,8.61,IS,2024-11-07 03:30:08
79,qaqortoq,60.7167,-46.0333,14.92,64.0,1.0,9.35,GL,2024-11-07 03:30:09
80,saint-pierre,-21.3393,55.4781,76.68,57.0,0.0,3.44,RE,2024-11-07 03:30:10
81,lihue,21.9789,-159.3672,78.39,76.0,75.0,27.63,US,2024-11-07 03:26:09
82,thompson,55.7435,-97.8558,30.36,80.0,100.0,11.5,CA,2024-11-07 03:26:26
83,port mathurin,-19.6833,63.4167,75.04,82.0,82.0,22.21,MU,2024-11-07 03:30:13
84,san antonio de pale,-1.4014,5.6325,78.55,84.0,86.0,14.94,GQ,2024-11-07 03:26:02
85,boa vista,2.8197,-60.6733,82.38,69.0,20.0,8.05,BR,2024-11-07 03:27:05
86,bhimunipatnam,17.8833,83.4333,85.51,67.0,5.0,10.89,IN,2024-11-07 03:30:16
87,fortuna,40.5982,-124.1573,49.35,89.0,0.0,6.91,US,2024-11-07 03:30:18
89,great falls,47.5002,-111.3008,37.85,66.0,0.0,17.27,US,2024-11-07 03:26:03
90,sao joao da barra,-21.6403,-41.0511,74.62,88.0,15.0,19.84,BR,2024-11-07 03:30:21
91,klyuchi,52.2667,79.1667,33.06,48.0,100.0,28.74,RU,2024-11-07 03:30:22
92,atafu village,-8.5421,-172.5159,83.28,70.0,29.0,9.69,TK,2024-11-07 03:30:23
93,anadyr,64.75,177.4833,10.9,72.0,0.0,13.42,RU,2024-11-07 03:30:24
94,jamestown,42.097,-79.2353,56.84,99.0,75.0,4.61,US,2024-11-07 03:29:38
95,ust-nera,64.5667,143.2,-13.81,98.0,53.0,3.44,RU,2024-11-07 03:30:26
96,yuzhno-kurilsk,44.0306,145.8556,43.0,64.0,97.0,25.41,RU,2024-11-07 03:30:28
97,ribeira grande,38.5167,-28.7,58.77,74.0,97.0,5.01,PT,2024-11-07 03:30:29
98,haiku-pauwela,20.9219,-156.3051,79.21,73.0,40.0,21.99,US,2024-11-07 03:30:30
99,wailua homesteads,22.0669,-159.378,77.79,80.0,75.0,27.63,US,2024-11-07 03:30:31
100,luderitz,-26.6481,15.1594,54.75,84.0,27.0,5.75,,2024-11-07 03:30:32
101,praia da vitoria,38.7333,-27.0667,55.65,88.0,20.0,6.69,PT,2024-11-07 03:30:33
102,edmundston,47.3737,-68.3251,41.76,75.0,20.0,10.36,CA,2024-11-07 03:29:22
103,talnakh,69.4865,88.3972,15.37,95.0,100.0,8.32,RU,2024-11-07 03:30:35
104,vorgashor,67.5833,63.95,17.29,97.0,100.0,7.81,RU,2024-11-07 03:30:36
105,tiznit,29.5833,-9.5,75.97,22.0,44.0,8.75,MA,2024-11-07 03:30:37
106,east london,-33.0153,27.9116,50.94,93.0,0.0,3.44,ZA,2024-11-07 03:30:39
107,dudinka,69.4058,86.1778,15.13,94.0,100.0,15.7,RU,2024-11-07 03:30:40
108,udachny,66.4167,112.4,8.33,93.0,68.0,6.87,RU,2024-11-07 03:30:41
109,bonthe,7.5264,-12.505,77.76,85.0,0.0,3.02,SL,2024-11-07 03:26:05
